Iteration,Score,activationHidden,activationInput,activationOutput,dropoutEnabled1stHidden,dropoutEnabled2ndHidden,dropoutRate,batchSize,validationSplit,epochs,standardizeInput,hiddenLayers,neuronsPerHiddenLayer
0,0.56,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,5
1,0.49,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,5
2,0.49,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,5
3,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,5
4,0.28,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,5
5,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,6
6,0.57,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,6
7,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,6
8,0.47,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,6
9,0.48,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,6
10,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,7
11,0.6,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,7
12,0.57,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,7
13,0.49,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,7
14,0.41,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,7
15,0.61,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,8
16,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,8
17,0.49,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,8
18,0.56,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,8
19,0.43,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,8
20,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,10
21,0.55,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,10
22,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,10
23,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,10
24,0.53,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,10
25,0.6,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,13
26,0.64,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,13
27,0.65,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,13
28,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,13
29,0.5,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,13
30,0.61,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,18
31,0.55,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,18
32,0.61,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,18
33,0.5,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,18
34,0.53,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,18
35,0.56,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,26
36,0.57,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,26
37,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,26
38,0.54,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,26
39,0.55,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,26
40,0.65,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,39
41,0.56,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,39
42,0.66,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,39
43,0.58,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,39
44,0.61,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,39
45,0.66,relu,relu,softmax,false,false,0.05,10,0.25,50,true,1,60
46,0.66,relu,relu,softmax,false,false,0.05,10,0.25,50,true,2,60
47,0.59,relu,relu,softmax,false,false,0.05,10,0.25,50,true,3,60
48,0.53,relu,relu,softmax,false,false,0.05,10,0.25,50,true,4,60
49,0.59,relu,relu,softmax,false,false,0.05,10,0.25,50,true,5,60
